OrderID,Date,CustomerID,Product,Quantity,UnitPrice,TotalPrice,PaymentMethod,OrderStatus
ORD200107,2023-03-27,C16775,Printer,5,670.75,3353.75,Gift Card,Shipped
ORD200463,2023-05-26,C25276,Laptop,5,662.78,3313.9,Debit Card,Shipped
ORD200492,2023-10-25,C39074,Laptop,5,606.52,3032.6,Debit Card,Shipped
ORD200000,2023-01-04,C72649,Monitor,5,570.62,2853.1,Debit Card,Shipped
ORD200389,2023-12-17,C29703,Desk,4,697.5,2790.0,Cash,Shipped
ORD201153,2024-12-16,C98317,Monitor,4,696.71,2786.84,Debit Card,Shipped
ORD200222,2023-05-04,C43124,Chair,4,693.36,2773.44,Online,Shipped
ORD201087,2025-03-23,C84134,Laptop,4,693.07,2772.28,Online,Shipped
ORD201156,2023-07-19,C20512,Laptop,4,690.78,2763.12,Credit Card,Shipped
ORD201076,2023-05-08,C99116,Laptop,4,686.61,2746.44,Cash,Shipped
